[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003244s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024572s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024707s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.001649s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.001524s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002021s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001567s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007076s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001704s ]
[ 2014-03-01T19:08:59+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001781s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000741s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000941s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004306s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.021446s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 20,20   [ RunTime:0.000342s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000734s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000818s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.011921s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012053s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.000482s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.000550s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000302s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000583s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002122s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000564s ]
[ 2014-03-01T19:09:08+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000642s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000711s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000849s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004665s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.030432s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 0,20   [ RunTime:0.000459s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000685s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000767s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.012150s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012287s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run ContentReplace Behavior [ RunTime:0.000645s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run TokenBuild Behavior [ RunTime:0.000794s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000502s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000803s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003134s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000960s ]
[ 2014-03-01T19:09:09+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001123s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000636s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000773s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004285s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.023587s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 20,20   [ RunTime:0.000316s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000926s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001070s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.012515s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012699s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.000737s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.000537s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000306s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002368s ]
