[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001346s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001497s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.003795s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc LIMIT 30   [ RunTime:0.006090s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001582s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001703s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013451s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013567s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.000854s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.000900s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000682s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000916s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003560s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000982s ]
[ 2012-10-15T00:10:20+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001052s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001060s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001276s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.003995s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc LIMIT 30   [ RunTime:0.006751s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000594s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000694s ]
[ 2012-10-15T00:10:35+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
