[ 2012-10-14T16:13:24+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T16:13:24+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001240s ]
[ 2012-10-14T16:13:24+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.021226s ]
[ 2012-10-14T16:32:47+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T16:32:47+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001070s ]
[ 2012-10-14T16:32:47+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001228s ]
[ 2012-10-14T16:32:47+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.050089s ]
[ 2012-10-14T16:32:47+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc  [ RunTime:0.046673s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001478s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001597s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.022291s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022454s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.001017s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.000943s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000772s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000850s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003789s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000850s ]
[ 2012-10-14T16:32:48+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000925s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001192s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001355s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.003664s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc  [ RunTime:0.022786s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001446s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001563s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021591s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021755s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.001016s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.000925s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000655s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000867s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003666s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000878s ]
[ 2012-10-14T16:34:11+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000950s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001437s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001655s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.004199s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc  [ RunTime:0.025169s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001554s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001692s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021656s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021816s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.001016s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.000922s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000815s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000852s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003811s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000952s ]
[ 2012-10-14T16:41:37+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001024s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001404s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001590s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain_major` [ RunTime:0.004076s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain_major` ORDER BY id asc LIMIT 100   [ RunTime:0.005983s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001471s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001573s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014389s ]
[ 2012-10-14T16:47:24+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014519s ]
